,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue id,Venue Latitude,Venue Longitude,Venue Category,likes
62,Tenderloin,37.78513000000004,-122.41450999999995,Ryoko's Japanese Restaurant & Bar,433c8000f964a52043281fe3,37.788183,-122.411882,Sushi Restaurant,1167
64,South of Market,37.777570000000026,-122.40434999999997,Basil Thai Restaurant & Bar,435c2400f964a5200e291fe3,37.775388,-122.409253,Thai Restaurant,289
65,Haight-Ashbury,37.769930000000045,-122.44691999999998,Citrus Club,43695300f964a52084291fe3,37.76952569383398,-122.45160256349212,Asian Restaurant,120
66,Marina District,37.80315000000007,-122.43674999999996,Isa Restaurant,437d1980f964a520ae2a1fe3,37.80010933433361,-122.43770123314442,French Restaurant,106
68,Richmond District,37.78066000000007,-122.47088999999994,My Tofu House,4387a580f964a5200f2b1fe3,37.78077445718831,-122.46926680975493,Korean Restaurant,236
69,Mission Dolores,37.76481000000007,-122.42359999999996,Pancho Villa Taqueria,43917d6df964a5205c2b1fe3,37.76489031730813,-122.42108881473541,Mexican Restaurant,879
70,Pacific Heights,37.79291000000006,-122.43463999999994,La Méditerranée,43cc0e7df964a520c92d1fe3,37.79004921583882,-122.43402176457614,Mediterranean Restaurant,222
72,Lake Street,37.785060000000044,-122.46403999999995,Thai Time,43d69045f964a5204e2e1fe3,37.78255434673865,-122.46654701619725,Thai Restaurant,58
74,Mission Dolores,37.76481000000007,-122.42359999999996,Truly Mediterranean,43da737ff964a5207d2e1fe3,37.764900817893924,-122.42215206165373,Mediterranean Restaurant,185
75,Marina District,37.80315000000007,-122.43674999999996,Zushi Puzzle,43ee0337f964a5205b2f1fe3,37.80028810472512,-122.43309322861029,Sushi Restaurant,154
77,Mission District,37.759930000000054,-122.41807999999997,Cafe Ethiopia,43f0db4ff964a5207e2f1fe3,37.758922674566,-122.42134662714794,Ethiopian Restaurant,80
78,Embarcadero,37.79532000000006,-122.39393999999999,Hog Island Oyster Co.,43fed1fff964a520fe2f1fe3,37.79600874910789,-122.39357690993523,Seafood Restaurant,1163
80,Chinatown,37.795390000000054,-122.40811999999994,Hang Ah Tea Room,441c222df964a52051311fe3,37.79327789647472,-122.4073114009954,Dim Sum Restaurant,77
